time; nodeID; CC; CC Name; endpoint; property; propertyName; propertyKey; propertyKeyName; value; label; type; readable; writable; default; description; unit; min; max; states; allowManualEntry; ccSpecific; other; propID; affordance; dataType; atType
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);8;48;Binary Sensor;0;Any;Any;;;true;Sensor state (Any);boolean;true;false;;;;;;;;{"sensorType":255};;48-Any;event;boolean;hiveot:prop:alarm:status
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);8;49;Multilevel Sensor;0;Air temperature;Air temperature;;;20.6;Air temperature;number;true;false;;;°C;;;;;{"sensorType":1,"scale":0};;49-Air_temperature;event;number;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);8;49;Multilevel Sensor;0;Illuminance;Illuminance;;;21;Illuminance;number;true;false;;;Lux;;;;;{"sensorType":3,"scale":1};;49-Illuminance;event;number;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);8;112;Configuration;0;3;Motion Pulses Required;;;2 moves;Motion Pulses Required;number;true;true;1;Sets the number of moves required for the PIR sensor to report motion. The more the value is, the less sensitive it is.; description: Sets the number of moves required for the PIR sensor to report motion. The more the value is, the less sensitive it is.;;0;3;{"0":"1 move","1":"2 moves","2":"3 moves","3":"4 moves"};false;;;112-3;property;number;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);8;112;Configuration;0;4;Motion Window Time;;;12 seconds;Motion Window Time;number;true;true;2;The amount of time the movements specified in parameter #3 need to take place in. The higher the value, the more sensitive the PIR sensor.; description: The amount of time the movements specified in parameter #3 need to take place in. The higher the value, the more sensitive the PIR sensor.;;0;3;{"0":"4 seconds","1":"8 seconds","2":"12 seconds","3":"16 seconds"};false;;;112-4;property;number;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);8;112;Configuration;0;8;Motion Day/Night Mode;;;PIR sensor always active;Motion Day/Night Mode;number;true;true;0;The parameter determines the part of day in which the PIR sensor will be active.; description: The parameter determines the part of day in which the PIR sensor will be active.;;0;2;{"0":"PIR sensor always active","1":"PIR sensor active during the day only","2":"PIR sensor active during the night only"};false;;;112-8;property;number;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);8;112;Configuration;0;66;Temperature Offset;;;-7;Temperature Offset;number;true;true;0;The value to be added to the actual measured temperature.; description: The value to be added to the actual measured temperature.;0.1 °C;-1000;1000;;true;;;112-66;property;number;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);8;112;Configuration;0;80;LED Signalling Mode;;;Depends on the temperature (Blink again when motion is detected);LED Signalling Mode;number;true;true;10;How the light behaves after motion has been detected.; description: How the light behaves after motion has been detected.;;0;26;{"0":"Disabled","1":"Depends on the temperature","2":"Flashlight mode - LED glows white 10 seconds","3":"White","4":"Red","5":"Green","6":"Blue","7":"Yellow","8":"Cyan","9":"Magenta","10":"Depends on the temperature (Blink again when motion is detected)","11":"Flashlight mode (Motion extends the flashlight)","12":"White (Blink again when motion is detected)","13":"Red (Blink again when motion is detected)","14":"Green (Blink again when motion is detected)","15":"Blue (Blink again when motion is detected)","16":"Yellow (Blink again when motion is detected)","17":"Cyan (Blink again when motion is detected)","18":"Magenta (Blink again when motion is detected)","19":"LED colour depends on the temperature (Blink twice again when motion is detected)","20":"White (Blink twice again when motion is detected)","21":"Red (Blink twice again when motion is detected)","22":"Green (Blink twice again when motion is detected)","23":"Blue (Blink twice again when motion is detected)","24":"Yellow (Blink twice again when motion is detected)","25":"Cyan (Blink twice again when motion is detected)","26":"Magenta (Blink twice again when motion is detected)"};false;;;112-80;property;number;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);8;112;Configuration;0;81;LED Brightness;;;50;LED Brightness;number;true;true;50;Brightness of the LED when it's on.; description: Brightness of the LED when it's on.;%;0;100;;true;;;112-81;property;number;
Sat Mar 22 2025 13:51:09 GMT-0700 (Pacific Daylight Time);8;114;Manufacturer Specific;0;manufacturerId;manufacturerId;;;271;Manufacturer ID;number;true;false;;;;0;65535;;;;;114-manufacturerId;property;number;
